序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,是否新高,量比,涨停统计,入选理由,所属行业,封板资金,首次封板时间,最后封板时间,炸板次数,连板数
1,301008,宏昌科技,20.005674362182617,42.29,42.29,1158767696,4899010365.86,5538435165.86,24.920867919921875,0.0,是,11.185860633850098,2/2,60日新高且近期多次涨停,家电零部,,,,,
2,300992,泰福泵业,20.0,41.88,41.88,588926352,3245476612.0800004,3992804272.0800004,20.174928665161133,0.0,是,3.1202704906463623,1/1,60日新高,通用设备,,,,,
3,300834,星辉环材,19.984107971191406,30.2,30.2,341444592,5811288725.8,5850113060.599999,5.921833038330078,0.0,是,5.348854064941406,1/1,60日新高,塑料,,,,,
4,301048,金鹰重工,19.98166847229004,13.09,13.09,612448144,6981334206.0,6981334310.72,9.212003707885742,0.0,是,8.047863960266113,1/1,60日新高,轨交设备,,,,,
5,688288,鸿泉技术,16.261398315429688,30.6,31.58,410467664,3054299342.4,3054299342.4,14.326879501342773,0.0,是,5.35695743560791,0/0,60日新高,计算机设,,,,,
6,688677,海泰新光,14.342462539672852,54.69,57.4,794227616,6556073130.0,6556073130.0,12.437732696533203,0.0,是,5.5990400314331055,2/1,60日新高,医疗器械,,,,,
7,688455,科捷智能,13.255522727966309,27.17,28.79,229868517,4565393195.22,4565393195.22,5.126890182495117,0.0,是,2.6201958656311035,0/0,60日新高,自动化设,,,,,
8,301323,新莱福,12.491052627563477,62.86,67.06,427715888,4253922454.18,6637305053.4,10.34327220916748,0.0,是,2.707775354385376,0/0,60日新高,金属新材,,,,,
9,601908,京运通,10.10988998413086,5.01,5.01,964440256,12097160333.609999,12097160348.64,8.151227951049805,0.0,否,0.6283063888549805,4/2,近期多次涨停,电力,,,,,
10,000008,神州高铁,10.1010103225708,3.27,3.27,524434240,8882291033.04,8882555013.6,5.955018520355225,0.0,否,2.898611307144165,2/2,近期多次涨停,轨交设备,,,,,
11,002578,闽发铝业,10.093896865844727,4.69,4.69,372904768,4038852411.09,4402175525.440001,9.243043899536133,0.0,否,2.9949681758880615,2/2,近期多次涨停,工业金属,,,,,
12,600488,津药药业,10.084033966064453,5.24,5.24,466914880,5721486203.2,5721486245.12,8.222428321838379,0.0,是,3.35068416595459,3/3,60日新高且近期多次涨停,化学制药,,,,,
13,000720,新能泰山,10.080645561218262,5.46,5.46,982547648,6860662377.66,6860662361.28,15.417572021484375,0.0,否,1.9247664213180542,6/5,近期多次涨停,电网设备,,,,,
14,000913,钱江摩托,10.033002853393555,16.67,16.67,549072944,8670158685.0,8778313711.68,6.512219429016113,0.0,是,6.047654628753662,1/1,60日新高,摩托车及,,,,,
15,600250,南京商旅,10.023492813110352,14.05,14.05,823592416,4394719226.2,4394719282.400001,19.524700164794922,0.0,是,1.4958676099777222,1/1,60日新高,贸易Ⅱ,,,,,
16,603826,坤彩科技,10.019880294799805,27.67,27.67,696678496,18129384000.0,18129384000.0,3.9184834957122803,0.0,是,1.9626582860946655,1/1,60日新高,非金属材,,,,,
17,002082,万邦德,10.018214225769043,30.2,30.2,2008597952,16708238244.4,18473009491.2,12.739083290100098,0.0,是,1.6704440116882324,6/4,60日新高且近期多次涨停,化学制药,,,,,
18,605299,舒华体育,10.005157470703125,21.33,21.33,863127488,8728801735.59,8728801842.24,10.17412281036377,0.0,是,0.7697667479515076,12/6,60日新高且近期多次涨停,文娱用品,,,,,
19,002263,大东南,10.0,4.51,4.51,1969953744,8471336401.0,8471404032.96,24.7474422454834,0.0,是,2.3167920112609863,4/3,60日新高且近期多次涨停,塑料,,,,,
20,002361,神剑股份,10.0,16.5,16.5,3149143536,13350529236.0,15692077104.0,23.703197479248047,0.0,否,1.2546446323394775,4/4,近期多次涨停,塑料,,,,,
21,002821,凯莱英,10.0,110.77,110.77,1872865232,35118948150.659996,39974121091.52,5.363607883453369,0.0,是,4.629311561584473,1/1,60日新高,医疗服务,,,,,
22,600066,宇通客车,10.0,35.86,35.86,1199265616,79391860536.78,79391860285.76,1.5107066631317139,0.0,是,1.4805119037628174,1/1,60日新高,商用车,,,,,
23,600158,中体产业,10.0,11.99,11.99,1497795520,11504561673.33,11504561733.28,13.282675743103027,0.0,是,1.4344968795776367,1/1,60日新高,体育Ⅱ,,,,,
24,002995,天地在线,9.991079330444336,24.66,24.66,319203104,2772208349.28,4376027476.8,11.848085403442383,0.0,否,0.6124895811080933,3/2,近期多次涨停,广告营销,,,,,
25,000592,平潭发展,9.9827880859375,12.78,12.78,5569520896,24474881498.219997,24688159850.879997,23.249568939208984,0.0,否,1.5810836553573608,5/3,近期多次涨停,林业Ⅱ,,,,,
