序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,001257,N盛龙,27.68,253.96,19.86,1076706.0,2575557214.01,117.65,30.0,20.8,23.46,7.82,,78.62,57.49,7.91,50819118615.0,3790720308.0,-0.07,0.18,253.96,253.96
2,688813,N泰金,49.47,88.24,23.19,235541.0,1193897084.0,51.52,60.55,47.01,49.0,26.28,,78.31,38.78,7.65,7915200000.0,1487908003.0,-0.02,-0.1,88.24,88.24
3,920055,N隆源,37.8,53.04,13.1,142826.0,543820578.45,28.79,43.11,36.0,36.0,24.7,,93.35,17.97,2.37,2570400000.0,578340000.0,-0.05,0.0,53.04,53.04
4,301008,宏昌科技,42.29,20.01,7.05,288691.0,1158767699.95,12.6,42.29,37.85,41.45,35.24,11.19,24.92,164.91,3.7,5538435166.0,4899010366.0,0.0,0.0,22.58,22.58
5,301255,通力科技,29.76,20.0,4.96,86544.0,243220761.72,21.61,29.76,24.4,24.4,24.8,8.99,22.73,102.56,4.31,4533043200.0,1133260800.0,0.0,0.0,4.24,1.74
6,300992,泰福泵业,41.88,20.0,6.98,156345.0,588926354.36,26.59,41.88,32.6,33.51,34.9,3.12,20.17,227.34,4.42,3992804272.0,3245476612.0,0.0,0.0,54.48,55.11
7,301079,邵阳液压,44.76,20.0,7.46,182411.0,778569388.34,20.8,44.76,37.0,37.0,37.3,3.59,26.24,1484.81,10.31,4875806794.0,3111947907.0,0.0,0.0,46.9,41.6
8,301048,金鹰重工,13.09,19.98,2.18,491307.0,612448140.77,20.9,13.09,10.81,10.81,10.91,8.05,9.21,41.83,2.55,6981334206.0,6981334206.0,0.0,0.0,13.24,14.82
9,300834,星辉环材,30.2,19.98,5.03,113952.0,341444592.51,8.7,30.2,28.01,30.18,25.17,5.35,5.92,110.89,1.99,5850113061.0,5811288726.0,0.0,0.0,36.84,30.28
10,920058,华洋赛车,33.17,18.08,5.08,36109.0,114446946.83,23.14,35.0,28.5,28.5,28.09,3.47,13.09,37.07,5.36,1859381169.0,915305850.0,-0.27,-0.09,2.63,-4.63
11,688288,鸿泉技术,30.6,16.26,4.28,143002.0,410467668.0,19.79,31.58,26.37,27.11,26.32,5.36,14.33,103.8,4.04,3054299342.0,3054299342.0,-0.29,0.69,10.75,14.14
12,920027,交大铁发,21.78,15.97,3.0,107748.0,230682771.13,23.43,22.9,18.5,18.5,18.78,15.39,25.53,39.18,3.77,1725052230.0,919192230.0,0.14,0.55,-3.46,1.87
13,300960,通业科技,27.49,14.59,3.5,104376.0,278727195.31,16.3,27.99,24.08,24.08,23.99,6.09,7.98,75.26,6.13,3970772845.0,3597843505.0,0.0,0.48,1.51,9.17
14,688677,海泰新光,54.69,14.34,6.86,149100.0,794227617.0,16.52,57.4,49.5,49.8,47.83,5.6,12.44,38.2,4.87,6556073130.0,6556073130.0,0.15,0.11,26.39,26.71
15,688455,科捷智能,27.17,13.26,3.18,86147.0,229868517.0,14.76,27.78,24.24,24.24,23.99,2.62,5.13,143.69,4.79,4565393195.0,4565393195.0,0.07,0.07,30.44,35.24
16,301323,新莱福,62.86,12.49,6.98,69996.0,427715891.14,16.68,64.8,55.48,55.65,55.88,2.71,10.34,47.66,3.05,6637305053.0,4253922454.0,0.03,0.1,10.46,15.19
17,300825,阿尔特,9.4,12.44,1.04,367880.0,338058166.04,15.19,9.65,8.38,8.38,8.36,6.03,7.59,-23.28,2.22,4681580521.0,4553455880.0,0.0,0.0,-2.79,-2.89
18,300411,金盾股份,11.21,11.43,1.15,225937.0,244594690.84,12.43,11.3,10.05,10.06,10.06,5.58,7.31,235.32,4.7,4557089278.0,3465184755.0,0.0,0.45,-1.58,-3.28
19,301179,泽宇智能,25.35,11.38,2.59,344163.0,851725460.67,14.24,25.9,22.66,22.98,22.76,1.5,14.49,132.46,4.23,10251731874.0,6020763132.0,0.04,0.08,57.75,60.34
20,601908,京运通,5.01,10.11,0.46,1968198.0,964440248.0,13.41,5.01,4.4,4.49,4.55,0.63,8.15,-39.9,1.37,12097160334.0,12097160334.0,0.0,0.0,23.7,28.13
21,000008,神州高铁,3.27,10.1,0.3,1617560.0,524434245.66,4.71,3.27,3.13,3.25,2.97,2.9,5.96,-76.38,3.03,8882555023.0,8882291033.0,0.0,0.0,12.76,14.74
22,000030,富奥股份,5.56,10.1,0.51,511203.0,276270289.28,9.7,5.56,5.07,5.07,5.05,4.73,3.06,16.31,1.17,9562148298.0,9290239834.0,0.0,0.0,-4.14,-3.14
23,002578,闽发铝业,4.69,10.09,0.43,795976.0,372904759.7,2.11,4.69,4.6,4.67,4.26,2.99,9.24,-406.93,2.9,4402175558.0,4038852411.0,0.0,0.0,1.96,4.45
