ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301048.SZ,20260331,10.81,13.09,10.81,13.09,10.91,2.18,19.9817,491306.91,612448.141
301048.SZ,20260330,10.0,11.85,9.98,10.91,10.13,0.78,7.6999,173038.83,191027.927
301048.SZ,20260327,9.96,10.16,9.95,10.13,10.08,0.05,0.496,23703.29,23921.145
301048.SZ,20260326,10.2,10.35,10.04,10.08,10.2,-0.12,-1.1765,29292.0,29779.872
301048.SZ,20260325,10.11,10.23,10.06,10.2,10.1,0.1,0.9901,37323.29,37910.836
301048.SZ,20260324,9.84,10.11,9.71,10.1,9.67,0.43,4.4467,41883.14,41518.913
301048.SZ,20260323,10.1,10.16,9.55,9.67,10.31,-0.64,-6.2076,60574.43,59778.39
301048.SZ,20260320,10.57,10.66,10.3,10.31,10.58,-0.27,-2.552,36621.12,38230.445
301048.SZ,20260319,10.78,10.85,10.53,10.58,10.87,-0.29,-2.6679,35028.0,37297.238
301048.SZ,20260318,10.85,10.95,10.72,10.87,10.82,0.05,0.4621,26281.47,28415.569
301048.SZ,20260317,11.07,11.14,10.82,10.82,11.03,-0.21,-1.9039,35538.0,39038.377
301048.SZ,20260316,11.21,11.25,10.98,11.03,11.2,-0.17,-1.5179,37265.0,41260.334
301048.SZ,20260313,11.2,11.48,11.13,11.2,11.24,-0.04,-0.3559,32205.0,36392.503
301048.SZ,20260312,11.38,11.43,11.22,11.24,11.41,-0.17,-1.4899,26527.67,29993.862
301048.SZ,20260311,11.34,11.42,11.31,11.41,11.34,0.07,0.6173,26775.0,30416.427
301048.SZ,20260310,11.3,11.35,11.21,11.34,11.16,0.18,1.6129,27020.67,30547.599
301048.SZ,20260309,11.22,11.34,11.1,11.16,11.36,-0.2,-1.7606,35394.0,39608.377
301048.SZ,20260306,11.09,11.38,11.03,11.36,11.07,0.29,2.6197,36444.24,41107.886
301048.SZ,20260305,11.06,11.18,11.01,11.07,10.94,0.13,1.1883,36257.0,40246.763
301048.SZ,20260304,11.13,11.26,10.82,10.94,11.23,-0.29,-2.5824,58815.0,64669.98
301048.SZ,20260303,11.53,11.72,11.21,11.23,11.53,-0.3,-2.6019,54700.21,62783.977
301048.SZ,20260302,11.65,11.76,11.45,11.53,11.78,-0.25,-2.1222,40243.19,46669.539
