ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600495.SH,20260331,4.48,4.93,4.48,4.93,4.48,0.45,10.0446,718439.78,347120.244
600495.SH,20260330,4.37,4.51,4.35,4.48,4.45,0.03,0.6742,130918.0,58112.339
600495.SH,20260327,4.34,4.45,4.34,4.45,4.38,0.07,1.5982,109625.19,48271.513
600495.SH,20260326,4.41,4.5,4.36,4.38,4.41,-0.03,-0.6803,142070.59,62702.505
600495.SH,20260325,4.32,4.46,4.28,4.41,4.32,0.09,2.0833,187007.17,81522.5
600495.SH,20260324,4.17,4.33,4.15,4.32,4.11,0.21,5.1095,216049.0,91877.631
600495.SH,20260323,4.31,4.35,4.07,4.11,4.38,-0.27,-6.1644,236904.72,99600.957
600495.SH,20260320,4.53,4.57,4.38,4.38,4.51,-0.13,-2.8825,160664.6,71560.608
600495.SH,20260319,4.62,4.62,4.49,4.51,4.64,-0.13,-2.8017,134527.8,61132.842
600495.SH,20260318,4.65,4.66,4.52,4.64,4.64,0.0,0.0,177708.2,81552.898
600495.SH,20260317,4.74,4.78,4.63,4.64,4.74,-0.1,-2.1097,149472.6,70301.284
600495.SH,20260316,4.77,4.82,4.72,4.74,4.77,-0.03,-0.6289,108099.0,51396.117
600495.SH,20260313,4.82,4.84,4.76,4.77,4.81,-0.04,-0.8316,96395.79,46325.858
600495.SH,20260312,4.84,4.84,4.78,4.81,4.84,-0.03,-0.6198,100615.44,48432.55
600495.SH,20260311,4.87,4.87,4.82,4.84,4.87,-0.03,-0.616,95283.98,46144.872
600495.SH,20260310,4.79,4.87,4.79,4.87,4.78,0.09,1.8828,141648.0,68684.012
600495.SH,20260309,4.76,4.83,4.76,4.78,4.81,-0.03,-0.6237,104624.8,50100.641
600495.SH,20260306,4.7,4.82,4.69,4.81,4.72,0.09,1.9068,146732.78,70249.697
600495.SH,20260305,4.68,4.76,4.67,4.72,4.63,0.09,1.9438,161857.08,76450.216
600495.SH,20260304,4.77,4.8,4.6,4.63,4.78,-0.15,-3.1381,261112.28,122403.814
600495.SH,20260303,4.86,4.92,4.78,4.78,4.87,-0.09,-1.848,217910.73,105907.803
600495.SH,20260302,4.86,4.91,4.81,4.87,4.89,-0.02,-0.409,174554.76,84918.732
