代码,名称,涨停统计,流通市值,换手率,连板数
000720,新能泰山,3/3,6295223170.71,1.684889793395996,3
002471,中超控股,1/1,11760946163.88,9.796858787536621,1
000965,天保基建,1/1,4639093141.099999,6.881990432739258,1
600163,中闽能源,2/2,15775838025.47,4.065252780914307,2
002705,新宝股份,1/1,11935687218.0,6.267712593078613,1
603601,再升科技,2/2,15353062650.24,36.985923767089844,2
001367,海森药业,1/1,959955618.6,16.576536178588867,1
000722,湖南发展,3/3,8484813394.960001,24.00480079650879,3
002902,铭普光磁,6/3,5071400623.3,15.657873153686523,2
000767,晋控电力,1/1,13483700998.68,7.2174153327941895,1
600800,渤海化学,2/2,5781694425.36,5.352577209472656,2
000927,中国铁物,2/2,20208170940.54,9.302599906921387,2
603538,美诺华,10/5,7700897388.08,13.314013481140137,3
003018,金富科技,1/1,2764965263.5,8.490954399108887,1
601515,衢州东峰,1/1,8486915659.110001,1.782002568244934,1
603937,丽岛新材,3/2,2991290136.32,7.603072643280029,1
002692,远程股份,1/1,4291899670.5000005,4.464876651763916,1
002263,大东南,1/1,6949876870.0,4.036493301391602,1
603520,司太立,1/1,4515621774.3,8.763570785522461,1
000692,惠天热电,1/1,2610881582.4,5.859806537628174,1
600682,南京新百,1/1,8218265541.5,2.760193109512329,1
603217,元利科技,1/1,5135601968.0,1.8616803884506226,1
002192,融捷股份,3/3,18374034546.98,15.69447135925293,3
603026,石大胜华,1/1,19854050514.48,10.344954490661621,1
002109,兴化股份,1/1,6304773063.940001,8.647380828857422,1
600207,安彩高科,1/1,7167676605.32,8.455025672912598,1
603272,联翔股份,4/2,3044561260.0,7.360245704650879,1
603687,大胜达,7/5,9075525756.0,18.316991806030273,1
600310,广西能源,1/1,8794264332.0,13.61649227142334,1
601908,京运通,1/1,12145452390.83,11.493739128112793,1
002782,可立克,1/1,12726871392.0,6.621085166931152,1
000037,深南电A,1/1,4063508718.5,20.719375610351562,1
000968,蓝焰控股,1/1,10574804073.8,10.202784538269043,1
600844,金煤科技,4/2,3735197078.36,22.448352813720703,1
605555,德昌股份,1/1,8137200562.4,3.611682176589966,1
002361,神剑股份,1/1,10033125001.6,19.544273376464844,1
002082,万邦德,3/2,13095496663.740002,9.078143119812012,1
002149,西部材料,1/1,22815629666.760002,19.3988037109375,1
600726,华电能源,13/8,50608026128.159996,7.982478141784668,2
