日期,当日成交净买额,买入成交额,卖出成交额,历史累计净买额,当日资金流入,当日余额,持股市值,领涨股,领涨股-涨跌幅,沪深300,沪深300-涨跌幅,领涨股-代码
2026-03-18,,,,,,,0.0,粤电力A,10.0,4062.98,0.32,000539.SZ
2026-03-19,,,,,,,0.0,韶能股份,9.96,4006.55,-1.39,000601.SZ
2026-03-20,,,,,,,0.0,云南锗业,10.0,3957.05,-1.24,002428.SZ
2026-03-23,,,,,,,0.0,辽宁能源,10.0,3813.28,-3.63,600758.SH
2026-03-24,,,,,,,0.0,中利集团,10.02,3881.28,1.78,002309.SZ
2026-03-25,,,,,,,0.0,奥瑞德,10.0,3931.84,1.3,600666.SH
2026-03-26,,,,,,,0.0,中超控股,10.05,3889.08,-1.09,002471.SZ
2026-03-27,,,,,,,0.0,广西能源,10.0,3913.72,0.63,600310.SH
2026-03-30,,,,,,,0.0,安徽建工,10.11,3923.29,0.24,600502.SH
2026-03-31,,,,,,,0.0,顺发恒能,10.05,3891.86,-0.8,000631.SZ
