序号,名称,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日超大单净流入-净额,今日超大单净流入-净占比,今日大单净流入-净额,今日大单净流入-净占比,今日中单净流入-净额,今日中单净流入-净占比,今日小单净流入-净额,今日小单净流入-净占比,今日主力净流入最大股
1,消费电子零部件及组装,-1.28,1550235392.0,2.89,1486830336.0,2.77,63405056.0,0.12,-654717440.0,-1.22,-894664960.0,-1.67,工业富联
2,消费电子,-1.28,1539114752.0,2.74,1490557696.0,2.65,48557056.0,0.09,-681987072.0,-1.21,-868750336.0,-1.55,工业富联
3,营销代理,-0.26,1020543120.0,7.09,178895136.0,1.24,841647984.0,5.85,518805504.0,3.6,-1539348656.0,-10.69,蓝色光标
4,广告营销,-0.24,1020229520.0,6.72,174127936.0,1.15,846101584.0,5.57,496565760.0,3.27,-1516795216.0,-9.99,蓝色光标
5,国有大型银行Ⅲ,1.76,1015409936.0,7.21,739471984.0,5.25,275937952.0,1.96,-540913232.0,-3.84,-474496704.0,-3.37,农业银行
6,医疗研发外包,1.78,970957584.0,5.09,827863824.0,4.34,143093760.0,0.75,-599559680.0,-3.14,-371397888.0,-1.95,药明康德
7,贵金属,0.28,913520992.0,3.61,428263776.0,1.69,485257216.0,1.92,433097216.0,1.71,-1346618112.0,-5.32,兴业银锡
8,轨交设备Ⅲ,3.82,858272112.0,9.66,724619680.0,8.16,133652432.0,1.5,-284497584.0,-3.2,-520640960.0,-5.86,中国中车
9,轨交设备Ⅱ,3.82,858272112.0,9.66,724619680.0,8.16,133652432.0,1.5,-284497584.0,-3.2,-520640960.0,-5.86,中国中车
10,纸包装,-0.7,850245168.0,18.59,990438592.0,21.66,-140193424.0,-3.07,-436281360.0,-9.54,-421613536.0,-9.22,顺灏股份
11,航天装备Ⅲ,0.91,669506512.0,4.42,319119312.0,2.11,350387200.0,2.32,-124551680.0,-0.82,-544954640.0,-3.6,中国卫星
12,航天装备Ⅱ,0.91,669506512.0,4.42,319119312.0,2.11,350387200.0,2.32,-124551680.0,-0.82,-544954640.0,-3.6,中国卫星
13,钼,-1.12,659942366.0,21.1,201422899.0,6.44,458519467.0,14.66,628544144.0,20.1,-1288486496.0,-41.2,N盛龙
14,银行Ⅱ,0.47,637628672.0,1.93,265863680.0,0.8,371764992.0,1.13,-543081984.0,-1.64,-94546944.0,-0.29,农业银行
15,银行,0.47,637628672.0,1.93,265863680.0,0.8,371764992.0,1.13,-543081984.0,-1.64,-94546944.0,-0.29,农业银行
16,医疗服务,0.39,575984672.0,2.29,636201504.0,2.53,-60216832.0,-0.24,-539226112.0,-2.14,-40676096.0,-0.16,药明康德
17,包装印刷,-1.22,555192112.0,5.68,772031520.0,7.9,-216839408.0,-2.22,-277416144.0,-2.84,-290706096.0,-2.98,顺灏股份
18,金属制品,-0.64,537275312.0,1.93,365186224.0,1.31,172089088.0,0.62,-24856832.0,-0.09,-518185984.0,-1.86,巨力索具
19,黄金,0.33,480220400.0,2.55,124879600.0,0.66,355340800.0,1.89,372443136.0,1.98,-852663552.0,-4.54,中金黄金
20,稀土,0.56,464122672.0,6.97,334651888.0,5.03,129470784.0,1.94,-196776816.0,-2.96,-267345856.0,-4.02,北方稀土
21,白银,0.08,433300496.0,6.64,303384176.0,4.65,129916320.0,1.99,60654208.0,0.93,-493954704.0,-7.56,兴业银锡
22,林业Ⅲ,2.48,392825984.0,6.83,363828976.0,6.33,28997008.0,0.5,-165406752.0,-2.88,-227419216.0,-3.95,平潭发展
23,林业Ⅱ,2.48,392825984.0,6.83,363828976.0,6.33,28997008.0,0.5,-165406752.0,-2.88,-227419216.0,-3.95,平潭发展
24,工程机械,0.63,392656992.0,3.81,231657392.0,2.24,160999600.0,1.56,-186336144.0,-1.81,-196807200.0,-1.91,三一重工
