名称,今日涨跌幅,今日主力净流入-净额,今日超大单净流入-净额
消费电子零部件及组装,-1.28,1550235392.0,1486830336.0
消费电子,-1.28,1539114752.0,1490557696.0
营销代理,-0.26,1020543120.0,178895136.0
广告营销,-0.24,1020229520.0,174127936.0
国有大型银行Ⅲ,1.76,1015409936.0,739471984.0
医疗研发外包,1.78,970957584.0,827863824.0
贵金属,0.28,913520992.0,428263776.0
轨交设备Ⅲ,3.82,858272112.0,724619680.0
轨交设备Ⅱ,3.82,858272112.0,724619680.0
纸包装,-0.7,850245168.0,990438592.0
航天装备Ⅲ,0.91,669506512.0,319119312.0
航天装备Ⅱ,0.91,669506512.0,319119312.0
钼,-1.12,659942366.0,201422899.0
银行Ⅱ,0.47,637628672.0,265863680.0
银行,0.47,637628672.0,265863680.0
医疗服务,0.39,575984672.0,636201504.0
包装印刷,-1.22,555192112.0,772031520.0
金属制品,-0.64,537275312.0,365186224.0
黄金,0.33,480220400.0,124879600.0
稀土,0.56,464122672.0,334651888.0
